C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2024/03/07,09:35:20,0000000413028861,,0000000413028821
I,DISPATCH,PRICE,4,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE
D,DISPATCH,PRICE,4,"2024/02/01 00:05:00",1,NSW1,20240131241,0,61.25,0,61.25,0,0,"2024/02/01 00:00:03",0.48,0.48,0,0.39,0.39,0,0.38,0.38,0,4,4,0,0.03,0.03,0,0.38,0.38,0,0.08,0.08,0,1.2,1.2,0,FIRM,61.25,0.48,0.39,0.38,4,0.03,0.38,0.08,1.2,30513.7265116666666666666666,1632.045540,1406.497990,859.267140,12958.102810,712.524030,4595.138010,872.482760,7556.676280
D,DISPATCH,PRICE,4,"2024/02/01 00:05:00",1,QLD1,20240131241,0,69.61319,0,69.61319,0,0,"2024/02/01 00:00:03",0.48,0.48,0,0.39,0.39,0,0.38,0.38,0,4,4,0,0.03,0.03,0,0.38,0.38,0,0.08,0.08,0,1.2,1.2,0,FIRM,69.61319,0.48,0.39,0.38,4,0.03,0.38,0.08,1.2,85721.6558166666666666666666,1632.045540,1406.497990,859.267140,12958.102810,712.524030,4595.138010,872.482760,7556.676280
D,DISPATCH,PRICE,4,"2024/02/01 00:05:00",1,SA1,20240131241,0,55.07218,0,55.07218,0,0,"2024/02/01 00:00:03",0.48,0.48,0,0.39,0.39,0,0.38,0.38,0,4,4,0,0.03,0.03,0,0.38,0.38,0,0.08,0.08,0,1.2,1.2,0,FIRM,55.07218,0.48,0.39,0.38,4,0.03,0.38,0.08,1.2,6968.502668333333333333333333,1632.045540,1406.497990,859.267140,12958.102810,712.524030,4595.138010,872.482760,7556.676280
D,DISPATCH,PRICE,4,"2024/02/01 00:05:00",1,TAS1,20240131241,0,48.99338,0,48.99338,0,0,"2024/02/01 00:00:03",1.36,1.36,0,1.36,1.36,0,0.38,0.38,0,7.22,7.22,0,0.03,0.03,0,0.38,0.38,0,0.08,0.08,0,3.41,3.41,0,FIRM,48.99338,1.36,1.36,0.38,7.22,0.03,0.38,0.08,3.41,14911.0774983333333333333333,3684.947240,1758.568170,732.2357,13814.4816,6161.629110,3319.917070,182.553360,21237.601430
D,DISPATCH,PRICE,4,"2024/02/01 00:05:00",1,VIC1,20240131241,0,49.97291,0,49.97291,0,0,"2024/02/01 00:00:03",0.48,0.48,0,0.39,0.39,0,0.38,0.38,0,4,4,0,0.03,0.03,0,0.38,0.38,0,0.08,0.08,0,1.2,1.2,0,FIRM,49.97291,0.48,0.39,0.38,4,0.03,0.38,0.08,1.2,1355.656136666666666666666666,1632.045540,1406.497990,859.267140,12958.102810,712.524030,4595.138010,872.482760,7556.676280
D,DISPATCH,PRICE,4,"2024/02/01 00:10:00",1,NSW1,20240131242,0,62.24001,0,62.24001,0,0,"2024/02/01 00:05:04",0.39,0.39,0,0.5,0.5,0,0.38,0.38,0,4.99,4.99,0,0.03,0.03,0,0.38,0.38,0,0,0,0,1.2,1.2,0,FIRM,62.24001,0.39,0.5,0.38,4.99,0.03,0.38,0,1.2,30513.7265116666666666666666,1631.475540,1406.277990,859.257140,12952.092810,712.174030,4595.128010,872.102760,7556.676280
D,DISPATCH,PRICE,4,"2024/02/01 00:10:00",1,QLD1,20240131242,0,70.23009,0,70.23009,0,0,"2024/02/01 00:05:04",0.39,0.39,0,0.5,0.5,0,0.38,0.38,0,4.99,4.99,0,0.03,0.03,0,0.38,0.38,0,0,0,0,1.2,1.2,0,FIRM,70.23009,0.39,0.5,0.38,4.99,0.03,0.38,0,1.2,85721.6558166666666666666666,1631.475540,1406.277990,859.257140,12952.092810,712.174030,4595.128010,872.102760,7556.676280
D,DISPATCH,PRICE,4,"2024/02/01 00:10:00",1,SA1,20240131242,0,55.94301,0,55.94301,0,0,"2024/02/01 00:05:04",0.39,0.39,0,0.5,0.5,0,0.38,0.38,0,4.99,4.99,0,0.03,0.03,0,0.38,0.38,0,0,0,0,1.2,1.2,0,FIRM,55.94301,0.39,0.5,0.38,4.99,0.03,0.38,0,1.2,6968.502668333333333333333333,1631.475540,1406.277990,859.257140,12952.092810,712.174030,4595.128010,872.102760,7556.676280
D,DISPATCH,PRICE,4,"2024/02/01 00:10:00",1,TAS1,20240131242,0,49.90601,0,49.90601,0,0,"2024/02/01 00:05:04",1.36,1.36,0,1.36,1.36,0,0.38,0.38,0,7.22,7.22,0,0.03,0.03,0,0.38,0.38,0,0,0,0,3.41,3.41,0,FIRM,49.90601,1.36,1.36,0.38,7.22,0.03,0.38,0,3.41,14911.0774983333333333333333,3685.347240,1759.208170,732.2357,13816.0716,6161.279110,3319.907070,182.173360,21238.181430
D,DISPATCH,PRICE,4,"2024/02/01 00:10:00",1,VIC1,20240131242,0,50.68294,0,50.68294,0,0,"2024/02/01 00:05:04",0.39,0.39,0,0.5,0.5,0,0.38,0.38,0,4.99,4.99,0,0.03,0.03,0,0.38,0.38,0,0,0,0,1.2,1.2,0,FIRM,50.68294,0.39,0.5,0.38,4.99,0.03,0.38,0,1.2,1355.656136666666666666666666,1631.475540,1406.277990,859.257140,12952.092810,712.174030,4595.128010,872.102760,7556.676280
