timestamp,price_per_kwh,action,reason,soc_percent,energy_kwh,cashflow,cumulative_profit
2026-05-01T00:00:00,0.15,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:05:00,0.14,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:10:00,0.13,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:15:00,0.12,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:20:00,0.12,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:25:00,0.11,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:30:00,0.11,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:35:00,0.1,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:40:00,0.1,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:45:00,0.1,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:50:00,0.09,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T00:55:00,0.09,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:00:00,0.08,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:05:00,0.08,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:10:00,0.08,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:15:00,0.07,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:20:00,0.07,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:25:00,0.07,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:30:00,0.06,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:35:00,0.06,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:40:00,0.06,HOLD,No price signal,50.0,0.000,0.0000,0.0000
2026-05-01T01:45:00,0.05,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0417,-0.0417
2026-05-01T01:50:00,0.05,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0417,-0.0833
2026-05-01T01:55:00,0.05,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0417,-0.1250
2026-05-01T02:00:00,0.04,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0375,-0.1625
2026-05-01T02:05:00,0.04,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0375,-0.2000
2026-05-01T02:10:00,0.03,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0333,-0.2333
2026-05-01T02:15:00,0.02,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0292,-0.2625
2026-05-01T02:20:00,0.01,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0250,-0.2875
2026-05-01T02:25:00,-0.02,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0125,-0.3000
2026-05-01T02:30:00,-0.05,CHARGE,Price at or below charge threshold,3.4,0.417,0.0000,-0.3000
2026-05-01T02:35:00,-0.08,CHARGE,Price at or below charge threshold,3.4,0.417,0.0125,-0.2875
2026-05-01T02:40:00,-0.1,CHARGE,Price at or below charge threshold,3.4,0.417,0.0208,-0.2667
2026-05-01T02:45:00,-0.12,CHARGE,Price at or below charge threshold,3.4,0.417,0.0292,-0.2375
2026-05-01T02:50:00,-0.11,CHARGE,Price at or below charge threshold,3.4,0.417,0.0250,-0.2125
2026-05-01T02:55:00,-0.09,CHARGE,Price at or below charge threshold,3.4,0.417,0.0167,-0.1958
2026-05-01T03:00:00,-0.07,CHARGE,Price at or below charge threshold,3.4,0.417,0.0083,-0.1875
2026-05-01T03:05:00,-0.05,CHARGE,Price at or below charge threshold,3.4,0.417,0.0000,-0.1875
2026-05-01T03:10:00,-0.03,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0083,-0.1958
2026-05-01T03:15:00,-0.01,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0167,-0.2125
2026-05-01T03:20:00,0.01,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0250,-0.2375
2026-05-01T03:25:00,0.02,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0292,-0.2667
2026-05-01T03:30:00,0.03,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0333,-0.3000
2026-05-01T03:35:00,0.04,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0375,-0.3375
2026-05-01T03:40:00,0.05,CHARGE,Price at or below charge threshold,3.4,0.417,-0.0417,-0.3792
