timestamp,price_per_kwh,action,reason,soc_percent,energy_kwh,cashflow,cumulative_profit
2024-01-01T00:05:00,0.06549158,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:10:00,0.0794107,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:15:00,0.06547647999999999,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:20:00,0.06159634,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:25:00,0.061540500000000005,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:30:00,0.06451684,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:35:00,0.0625429,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:40:00,0.06127223,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:45:00,0.06073642,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:50:00,0.06086101,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T00:55:00,0.06108987,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:00:00,0.05475,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:05:00,0.04954996,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:10:00,0.05475,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:15:00,0.054549999999999994,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:20:00,0.054549999999999994,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:25:00,0.054549999999999994,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:30:00,0.05475,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:35:00,0.05934496,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:40:00,0.05475,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:45:00,0.04435872,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:50:00,0.046631360000000004,HOLD,No price signal or SoC constraint,50.0,0.000,0.0000,0.0000
2024-01-01T01:55:00,0.03985883,CHARGE,Price 0.0399 <= threshold 0.0500,53.1,0.417,-0.0374,-0.0374
2024-01-01T02:00:00,0.04572744,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:05:00,0.04822837,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:10:00,0.04955,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:15:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:20:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:25:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:30:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:35:00,0.05578966,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:40:00,0.05908468,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:45:00,0.05815808,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:50:00,0.055330410000000003,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T02:55:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:00:00,0.04379718,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:05:00,0.04955,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:10:00,0.04955,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:15:00,0.04955,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:20:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:25:00,0.04955,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:30:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:35:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:40:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:45:00,0.04955,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:50:00,0.054549999999999994,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T03:55:00,0.05475,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:00:00,0.05961772,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:05:00,0.05475,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:10:00,0.04272627,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:15:00,0.04282365,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:20:00,0.04143805,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:25:00,0.04955,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:30:00,0.04955,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:35:00,0.042365270000000003,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:40:00,0.04167998999999999,HOLD,No price signal or SoC constraint,53.1,0.000,0.0000,-0.0374
2024-01-01T04:45:00,0.039406239999999995,CHARGE,Price 0.0394 <= threshold 0.0500,56.2,0.417,-0.0373,-0.0747
2024-01-01T04:50:00,0.03889476,CHARGE,Price 0.0389 <= threshold 0.0500,59.3,0.417,-0.0370,-0.1117
2024-01-01T04:55:00,0.038882240000000005,CHARGE,Price 0.0389 <= threshold 0.0500,62.3,0.417,-0.0370,-0.1488
2024-01-01T05:00:00,0.03889855,CHARGE,Price 0.0389 <= threshold 0.0500,65.4,0.417,-0.0370,-0.1858
2024-01-01T05:05:00,0.042121229999999996,HOLD,No price signal or SoC constraint,65.4,0.000,0.0000,-0.1858
2024-01-01T05:10:00,0.042558660000000005,HOLD,No price signal or SoC constraint,65.4,0.000,0.0000,-0.1858
2024-01-01T05:15:00,0.03875,CHARGE,Price 0.0387 <= threshold 0.0500,68.5,0.417,-0.0370,-0.2228
2024-01-01T05:20:00,0.038674190000000004,CHARGE,Price 0.0387 <= threshold 0.0500,71.6,0.417,-0.0369,-0.2597
2024-01-01T05:25:00,0.03875,CHARGE,Price 0.0387 <= threshold 0.0500,74.7,0.417,-0.0370,-0.2967
2024-01-01T05:30:00,0.038436729999999995,CHARGE,Price 0.0384 <= threshold 0.0500,77.8,0.417,-0.0368,-0.3336
2024-01-01T05:35:00,0.03842633,CHARGE,Price 0.0384 <= threshold 0.0500,80.9,0.417,-0.0368,-0.3704
