timestamp,solar_kwh,demand_kwh,grid_import_kwh,arbitrage_action,battery_charged_kwh,battery_discharged_kwh,soc_percent,battery_energy_kwh
2024-05-01T00:00:00,0.000,0.025,0.000,HOLD,0.000,0.000,49.8,6.725
2024-05-01T00:05:00,0.000,0.025,0.000,HOLD,0.000,0.000,49.6,6.700
2024-05-01T00:10:00,0.000,0.025,0.000,HOLD,0.000,0.000,49.4,6.675
2024-05-01T00:15:00,0.000,0.025,0.000,HOLD,0.000,0.000,49.3,6.650
2024-05-01T00:20:00,0.000,0.025,0.000,HOLD,0.000,0.000,49.1,6.625
2024-05-01T00:25:00,0.000,0.025,0.000,HOLD,0.000,0.000,48.9,6.600
2024-05-01T00:30:00,0.000,0.025,0.000,HOLD,0.000,0.000,48.7,6.575
2024-05-01T00:35:00,0.000,0.025,0.000,HOLD,0.000,0.000,48.5,6.550
2024-05-01T00:40:00,0.000,0.025,0.000,HOLD,0.000,0.000,48.3,6.525
2024-05-01T00:45:00,0.000,0.025,0.000,HOLD,0.000,0.000,48.1,6.500
2024-05-01T00:50:00,0.000,0.025,0.000,HOLD,0.000,0.000,48.0,6.475
2024-05-01T00:55:00,0.000,0.025,0.000,HOLD,0.000,0.000,47.8,6.450
2024-05-01T01:00:00,0.000,0.025,0.000,HOLD,0.000,0.000,47.6,6.425
2024-05-01T01:05:00,0.000,0.025,0.000,HOLD,0.000,0.000,47.4,6.400
2024-05-01T01:10:00,0.000,0.025,0.000,HOLD,0.000,0.000,47.2,6.375
2024-05-01T01:15:00,0.000,0.025,0.000,HOLD,0.000,0.000,47.0,6.350
2024-05-01T01:20:00,0.000,0.025,0.000,HOLD,0.000,0.000,46.9,6.325
2024-05-01T01:25:00,0.000,0.025,0.000,HOLD,0.000,0.000,46.7,6.300
2024-05-01T01:30:00,0.000,0.025,0.000,HOLD,0.000,0.000,46.5,6.275
2024-05-01T01:35:00,0.000,0.025,0.000,HOLD,0.000,0.000,46.3,6.250
2024-05-01T01:40:00,0.000,0.025,0.000,HOLD,0.000,0.000,46.1,6.225
2024-05-01T01:45:00,0.000,0.025,0.000,HOLD,0.000,0.000,45.9,6.200
2024-05-01T01:50:00,0.000,0.025,0.000,HOLD,0.000,0.000,45.7,6.175
2024-05-01T01:55:00,0.000,0.025,0.000,HOLD,0.000,0.000,45.6,6.150
2024-05-01T02:00:00,0.000,0.025,0.000,HOLD,0.000,0.000,45.4,6.125
2024-05-01T02:05:00,0.000,0.025,0.000,HOLD,0.000,0.000,45.2,6.100
2024-05-01T02:10:00,0.000,0.025,0.000,HOLD,0.000,0.000,45.0,6.075
2024-05-01T02:15:00,0.000,0.025,0.000,HOLD,0.000,0.000,44.8,6.050
2024-05-01T02:20:00,0.000,0.025,0.000,HOLD,0.000,0.000,44.6,6.025
2024-05-01T02:25:00,0.000,0.025,0.000,HOLD,0.000,0.000,44.4,6.000
2024-05-01T02:30:00,0.000,0.025,0.000,HOLD,0.000,0.000,44.3,5.975
2024-05-01T02:35:00,0.000,0.025,0.000,HOLD,0.000,0.000,44.1,5.950
