number_batteries,regime,interval_count,total_profit,average_profit,profitability_share,energy_exported,cycle_contribution,degradation_contribution,degradation_dominates
1,normal,35312,-9.8623,-0.0002792903262,-0.02525628769,179.31,44.47192593,30.01855,True
1,volatile,3738,41.6682,0.01114719101,0.1067077707,193.523,17.254,11.64645,False
1,negative_pricing,3777,-2.308,-0.0006110669844,-0.005910539326,0,4.92962963,3.3275,True
1,price_spike,181,334.3031,1.846978453,0.8561142199,59.952,4.440888889,2.9976,False
1,sustained_high_price_event,1055,26.6879,0.02529658768,0.06834483643,94.983,7.035777778,4.74915,False
10,normal,35312,-9.8623,-0.0002792903262,-0.05888899222,179.31,44.47192593,30.01855,True
10,volatile,3738,14.33877712,0.003835948935,0.08561858129,164.0025424,14.6220339,9.869872881,False
10,negative_pricing,3777,-2.308,-0.0006110669844,-0.01378134857,0,4.92962963,3.3275,True
10,price_spike,181,154.676089,0.8545640275,0.9235897307,50.80677966,3.76346516,2.540338983,False
10,sustained_high_price_event,1055,10.6281589,0.01007408426,0.06346202881,80.4940678,5.96252354,4.02470339,False
100,normal,35312,-9.8623,-0.0002792903262,0.7718270716,179.31,44.47192593,30.01855,True
100,volatile,3738,-4.194856711,-0.001122219559,0.3282909637,64.94060403,5.789932886,3.908204698,True
100,negative_pricing,3777,-2.308,-0.0006110669844,0.1806248929,0,4.92962963,3.3275,True
100,price_spike,181,4.653501678,0.02570995402,-0.3641846803,20.11812081,1.490231171,1.00590604,False
100,sustained_high_price_event,1055,-1.066207215,-0.001010622952,0.08344175215,31.87348993,2.360999254,1.593674497,True
1000,normal,35312,-9.8623,-0.0002792903262,0.7422345993,179.31,44.47192593,30.01855,True
1000,volatile,3738,-1.626547807,-0.0004351385253,0.1224136419,9.224165872,0.8224022879,0.5551215443,True
1000,negative_pricing,3777,-2.308,-0.0006110669844,0.1736995889,0,4.92962963,3.3275,True
1000,price_spike,181,0.6609835558,0.00365184285,-0.04974548175,2.857578646,0.2116724923,0.1428789323,False
1000,sustained_high_price_event,1055,-0.1514441134,-0.0001435489227,0.01139765175,4.527311725,0.3353564241,0.2263655863,True
10000,normal,35312,-9.8623,-0.0002792903262,0.7380389042,179.31,44.47192593,30.01855,True
10000,volatile,3738,-1.24573576,-0.0003332626431,0.09322383775,0.9628968057,0.08584933824,0.05794830331,True
10000,negative_pricing,3777,-2.308,-0.0006110669844,0.1727177018,0,4.92962963,3.3275,True
10000,price_spike,181,0.06899907951,0.000381210384,-0.005163501925,0.2982983381,0.0220961732,0.01491491691,False
10000,sustained_high_price_event,1055,-0.01580902329,-1.49848562e-05,0.001183058133,0.4725992636,0.03500735286,0.02362996318,True
